"","id","age","sex","height","weight","dog","dog_type","bmi","overweight"
"1",1,40,"F",63.5,134.5,"no",NA,23.4493148986298,0
"2",2,36,"M",65.6,191.6,"no",NA,31.2999144854253,1
"3",3,69,"M",68.2,170,"no",NA,25.6942234758903,0
"4",4,56,"F",62.9,134.5,"no",NA,23.8988123071168,0
"5",5,66,"F",63.7,133.4,"no",NA,23.1117212009789,0
"6",6,84,"M",70.8,200.6,"no",NA,28.1332391713748,0
"7",7,40,"M",67,203.3,"no",NA,31.8378035197149,1
"8",8,73,"M",67,145.8,"yes","poodle",22.8330140343061,0
"9",9,76,"F",62.6,137.1,"no",NA,24.5948463289408,0
"10",10,38,"F",62.2,138.6,"yes","lab",25.1847582221027,0
"11",11,62,"F",62.3,140.6,"no",NA,25.4662238585625,0
"12",12,46,"F",60.6,137,"yes","lab",26.225914670675,0
"13",13,67,"M",67.4,182.2,"no",NA,28.1957664503518,0
"14",14,67,"F",62.9,134.2,"no",NA,23.84550640606,0
"15",15,42,"F",65.1,115.5,"yes","husky",19.1591100540112,0
"16",16,83,"M",68.6,198,"yes","retriever",29.5782369590902,0
"17",17,34,"F",60.6,146.9,"no",NA,28.1210720081909,0
"18",18,23,"F",63.9,134.2,"no",NA,23.1050080696315,0
"19",19,55,"F",62.9,123.7,"no",NA,21.9797998690732,0
"20",20,30,"M",68.4,174.9,"no",NA,26.2804580896686,0
"21",21,27,"M",68.7,165,"yes","husky",24.576826020353,0
"22",22,59,"F",62.5,132,"yes","husky",23.755776,0
"23",23,71,"M",67.2,180.3,"yes","retriever",28.0680670705782,0
"24",24,30,"M",68.3,180.1,"no",NA,27.1411115803374,0
"25",25,36,"M",67,149.3,"yes","poodle",23.3811316551571,0
"26",26,68,"M",70.4,222.5,"yes","lab",31.5602200090393,1
"27",27,25,"F",66.3,149.4,"no",NA,23.8934501750578,0
"28",28,62,"F",64.2,138.4,"no",NA,23.6059432653022,0
"29",29,64,"F",62.4,123.4,"yes","poodle",22.279287886259,0
"30",30,23,"F",64.7,107.6,"no",NA,18.0700367168408,0
"31",31,42,"M",68.9,171.5,"yes","poodle",25.3969173472418,0
"32",32,37,"F",63.6,124.9,"yes","husky",21.7071862268106,0
"33",33,46,"M",67.3,198.8,"no",NA,30.8561386000896,1
"34",34,30,"M",69,192.2,"no",NA,28.3798781768536,0
"35",35,86,"F",61.7,123.6,"yes","poodle",22.8246153684504,0
"36",36,35,"M",67.8,159.8,"yes","husky",24.4383968117228,0
"37",37,71,"M",66.7,165.3,"yes","husky",26.1202007691806,0
"38",38,64,"M",71.8,171,"no",NA,23.3186039835197,0
"39",39,69,"M",67.3,176.6,"yes","lab",27.4104329817698,0
"40",40,88,"M",69,176.1,"no",NA,26.0025834908633,0
"41",41,53,"F",65.9,134.8,"yes","lab",21.8209868725549,0
"42",42,46,"F",64.3,121.8,"no",NA,20.7100271133804,0
"43",43,39,"F",63.4,132.6,"no",NA,23.1910457861059,0
"44",44,35,"M",67.5,154.6,"no",NA,23.8537832647462,0
